,Unnamed: 1,Unnamed: 2
0,,
1,abandon,-2.0
2,abandoned,-2.0
3,abandons,-2.0
4,abducted,-2.0
5,abduction,-2.0
6,abductions,-2.0
7,abhor,-3.0
8,abhorred,-3.0
9,abhorrent,-3.0
10,abhors,-3.0
11,abilities,2.0
12,ability,2.0
13,aboard,1.0
14,aborted,-1.0
15,aborts,-1.0
16,absentee,-1.0
17,absentees,-1.0
18,absolve,2.0
19,absolved,2.0
20,absolves,2.0
21,absolving,2.0
22,absorbed,1.0
23,abuse,-3.0
24,abused,-3.0
25,abuses,-3.0
26,abusing,-3.0
27,abusive,-3.0
28,accept,1.0
29,acceptable,1.0
30,acceptance,1.0
31,accepted,1.0
32,accepting,1.0
33,accepts,1.0
34,accessible,1.0
35,accident,-2.0
36,accidental,-2.0
37,accidentally,-2.0
38,accidents,-2.0
39,acclaim,2.0
40,acclaimed,2.0
41,accolade,2.0
42,accomplish,2.0
43,accomplished,2.0
44,accomplishes,2.0
45,accomplishment,2.0
46,accomplishments,2.0
47,accusation,-2.0
48,accusations,-2.0
49,accuse,-2.0
50,accused,-2.0
51,accuses,-2.0
52,accusing,-2.0
53,ache,-2.0
54,achievable,1.0
55,aching,-2.0
56,acquit,2.0
57,acquits,2.0
58,acquitted,2.0
59,acquitting,2.0
60,acrimonious,-3.0
61,active,1.0
62,adequate,1.0
63,admire,3.0
64,admired,3.0
65,admires,3.0
66,admiring,3.0
67,admit,-1.0
68,admits,-1.0
69,admitted,-1.0
70,admonish,-2.0
71,admonished,-2.0
72,adopt,1.0
73,adopts,1.0
74,adorable,3.0
75,adoration,3.0
76,adore,3.0
77,adored,3.0
78,adores,3.0
79,adoring,3.0
80,adoringly,3.0
81,advanced,1.0
82,advantage,2.0
83,advantageous,2.0
84,advantageously,2.0
85,advantages,2.0
86,adventure,2.0
87,adventures,2.0
88,adventurous,2.0
89,adversary,-1.0
90,advisable,1.0
91,affected,-1.0
92,affection,3.0
93,affectionate,3.0
94,affectionateness,3.0
95,afflicted,-1.0
96,affordable,2.0
97,affronted,-1.0
98,aficionados,2.0
99,afraid,-2.0
100,aggravate,-2.0
101,aggravated,-2.0
102,aggravates,-2.0
103,aggravating,-2.0
104,aggression,-2.0
105,aggressions,-2.0
106,aggressive,-2.0
107,aggressiveness,-2.0
108,aghast,-2.0
109,agog,2.0
110,agonise,-3.0
111,agonised,-3.0
112,agonises,-3.0
113,agonising,-3.0
114,agonize,-3.0
115,agonized,-3.0
116,agonizes,-3.0
117,agonizing,-3.0
118,agree,1.0
119,agreeable,2.0
120,agreed,1.0
121,agreement,1.0
122,agrees,1.0
123,alarm,-2.0
124,alarmed,-2.0
125,alarmist,-2.0
126,alarmists,-2.0
127,alas,-1.0
128,alert,-1.0
129,alienation,-2.0
130,alive,1.0
131,allegation,-2.0
132,allegations,-2.0
133,allergic,-2.0
134,allow,1.0
135,ally,2.0
136,alone,-2.0
137,altruistic,2.0
138,amaze,2.0
139,amazed,2.0
140,amazes,2.0
141,amazing,4.0
142,ambitious,2.0
143,ambivalent,-1.0
144,amicable,2.0
145,amuse,3.0
146,amused,3.0
147,amusement,3.0
148,amusements,3.0
149,anger,-3.0
150,angered,-3.0
151,angers,-3.0
152,angry,-3.0
153,anguish,-3.0
154,anguished,-3.0
155,animosity,-2.0
156,annoy,-2.0
157,annoyance,-2.0
158,annoyed,-2.0
159,annoying,-2.0
160,annoys,-2.0
161,antagonistic,-2.0
162,anti,-1.0
163,anticipation,1.0
164,anxiety,-2.0
165,anxious,-2.0
166,apathetic,-3.0
167,apathy,-3.0
168,apeshit,-3.0
169,apocalyptic,-2.0
170,apologise,-1.0
171,apologised,-1.0
172,apologises,-1.0
173,apologising,-1.0
174,apologize,-1.0
175,apologized,-1.0
176,apologizes,-1.0
177,apologizing,-1.0
178,apology,-1.0
179,appalled,-2.0
180,appalling,-2.0
181,appealing,2.0
182,appease,2.0
183,appeased,2.0
184,appeases,2.0
185,appeasing,2.0
186,applaud,2.0
187,applauded,2.0
188,applauding,2.0
189,applauds,2.0
190,applause,2.0
191,appreciate,2.0
192,appreciated,2.0
193,appreciates,2.0
194,appreciating,2.0
195,appreciation,2.0
196,apprehensive,-2.0
197,appropriate,2.0
198,appropriately,2.0
199,approval,2.0
200,approved,2.0
201,approves,2.0
202,ardent,1.0
203,arrest,-2.0
204,arrested,-3.0
205,arrests,-2.0
206,arrogant,-2.0
207,arsehole,-4.0
208,ashame,-2.0
209,ashamed,-2.0
210,ass,-4.0
211,assassination,-3.0
212,assassinations,-3.0
213,assault,-2.0
214,assaults,-2.0
215,asset,2.0
