,clock,itemid,num,value_avg,value_max,value_min
0,1596474000,42799799,60,312078598212,323212673024,305667158016
1,1596477600,42799799,59,306273679394,323227791360,296241508352
2,1596481200,42799799,60,297663973853,322855989248,292078940160
3,1596484800,42799799,60,293511763694,309419204608,280763834368
4,1596488400,42799799,56,306588927634,323338964992,291308216320
5,1596492000,42799799,33,322557870700,323299160064,321754546176
6,1596495600,42799799,11,323232605277,323259744256,323202596864
7,1596499200,42799799,27,322870841799,322970554368,322626584576
8,1596502800,42799799,5,322073962905,322096795648,322038718464
9,1596506400,42799799,50,322012710829,322736615424,321639182336
10,1596510000,42799799,60,321670856294,323388194816,317093560320
11,1596513600,42799799,60,322805965277,323309899776,322644541440
12,1596517200,42799799,60,322183835033,322724917248,319501582336
13,1596520800,42799799,60,322198167961,322706997248,320509042688
14,1596524400,42799799,60,322526454033,322868801536,321201766400
15,1596528000,42799799,59,323001953748,323117895680,322399756288
16,1596531600,42799799,60,322992604091,323093848064,322031951872
17,1596535200,42799799,56,322558707419,323085029376,321318182912
18,1596538800,42799799,59,322713919418,323073388544,320715853824
19,1596542400,42799799,60,322489662464,323044298752,319509491712
20,1596546000,42799799,60,322065449915,323051683840,318426435584
21,1596549600,42799799,60,320963213858,323019964416,316454912000
22,1596553200,42799799,59,318765477402,323056750592,313517330432
23,1596556800,42799799,60,316658476782,323025387520,310918107136
24,1596560400,42799799,60,311762472140,323023941632,305915502592
25,1596564000,42799799,54,304133127888,322995470336,296260124672
26,1596567600,42799799,59,295730590181,316455256064,291617550336
27,1596571200,42799799,60,293168311842,309818867712,280815214592
28,1596574800,42799799,60,306859526553,322830209024,288862646272
29,1596578400,42799799,59,322754226696,324335665152,320678653952
30,1596582000,42799799,58,325802837380,326074425344,323612127232
31,1596585600,42799799,60,325728678502,326051127296,325400625152
32,1596589200,42799799,59,323336014483,325737152512,319068913664
33,1596592800,42799799,60,322146121113,324870918144,321384030208
34,1596596400,42799799,60,323718294459,325908385792,319549939712
35,1596600000,42799799,60,325313429367,325810782208,325157056512
36,1596603600,42799799,60,324606742118,325268090880,321834250240
37,1596607200,42799799,59,324494922630,325056647168,323279691776
38,1596610800,42799799,60,324783854045,325010309120,323441405952
39,1596614400,42799799,60,325054236194,325229522944,324260122624
40,1596618000,42799799,60,325090556723,325215186944,324189376512
41,1596621600,42799799,59,324565501153,325151645696,323272630272
42,1596625200,42799799,60,324618990182,325041856512,322601426944
43,1596628800,42799799,60,324443013666,325065084928,321327210496
44,1596632400,42799799,60,324040536405,325087739904,320346238976
45,1596636000,42799799,60,322842482073,325078110208,318390317056
46,1596639600,42799799,59,320366792148,324928581632,315239972864
47,1596643200,42799799,60,318573592985,324942344192,312707063808
48,1596646800,42799799,59,313322512869,324934160384,307354025984
49,1596650400,42799799,60,307315345612,324874747904,297264988160
50,1596654000,42799799,60,294472398574,307908206592,283369803776
51,1596657600,42799799,60,292223599069,304994279424,275136651264
52,1596661200,42799799,59,306177710670,324548497408,288773844992
53,1596664800,42799799,60,323808675908,324486119424,322964500480
54,1596668400,42799799,60,324377612014,324589248512,322960343040
55,1596672000,42799799,59,324174964145,324491198464,323818938368
56,1596675600,42799799,60,321758947669,324158369792,317500170240
57,1596679200,42799799,59,323350288488,323982671872,322890022912
58,1596682800,42799799,60,322827870208,324584759296,318054162432
59,1596686400,42799799,58,324075916252,324507217920,323883569152
60,1596690000,42799799,60,323541909777,324732268544,320791613440
61,1596693600,42799799,60,323410514602,323988258816,321878536192
62,1596697200,42799799,59,323815790071,324298752000,322406883328
63,1596700800,42799799,60,324245351628,324374265856,323511410688
64,1596704400,42799799,59,324225639510,324354678784,323218534400
65,1596708000,42799799,60,323746313693,324253560832,322129723392
66,1596711600,42799799,57,323848739283,324289372160,321869279232
67,1596715200,42799799,47,323453693690,324268728320,320639258624
68,1596718800,42799799,56,323079576210,324258078720,319539691520
69,1596722400,42799799,52,322596017467,324192858112,317871226880
70,1596726000,42799799,60,319370873924,324211118080,314363367424
71,1596729600,42799799,60,317330772582,324182671360,312087445504
72,1596733200,42799799,60,312677028932,324197072896,306967863296
