time,value_avg
1599872400000000000,37.8170
1599876000000000000,37.8361
1599879600000000000,37.8387
1599883200000000000,37.8410
1599886800000000000,37.8415
1599890400000000000,37.8424
1599894000000000000,37.8443
1599897600000000000,37.8438
1599901200000000000,37.8453
1599904800000000000,37.8446
1599908400000000000,37.8478
1599912000000000000,37.8465
1599915600000000000,37.8500
1599919200000000000,37.8522
1599922800000000000,37.8520
1599926400000000000,37.8570
1599930000000000000,37.8612
1599933600000000000,37.8649
1599937200000000000,37.8669
1599940800000000000,37.8622
1599944400000000000,37.8605
1599948000000000000,37.8598
1599951600000000000,37.8622
1599955200000000000,37.7572
1599958800000000000,37.7840
1599962400000000000,37.7833
1599966000000000000,37.7829
1599969600000000000,37.7847
1599973200000000000,37.7851
1599976800000000000,37.7863
1599980400000000000,37.7861
1599984000000000000,37.7858
1599987600000000000,37.7869
1599991200000000000,37.7873
1599994800000000000,37.7877
1599998400000000000,37.7881
1600002000000000000,37.7877
1600005600000000000,37.7885
1600009200000000000,37.7928
1600012800000000000,37.7944
1600016400000000000,37.7970
1600020000000000000,37.7998
1600023600000000000,37.7998
1600027200000000000,37.8020
1600030800000000000,37.8043
1600034400000000000,37.8062
1600038000000000000,37.8075
1600041600000000000,37.7100
1600045200000000000,37.7262
1600048800000000000,37.7492
1600052400000000000,37.7542
1600056000000000000,37.7539
1600059600000000000,37.7525
1600063200000000000,37.7537
1600066800000000000,37.7553
1600070400000000000,37.7569
1600074000000000000,37.7578
1600077600000000000,37.7572
1600081200000000000,37.7571
1600084800000000000,37.7593
1600088400000000000,37.7620
1600092000000000000,37.7595
1600095600000000000,37.7598
1600099200000000000,37.7590
1600102800000000000,37.7593
1600106400000000000,37.7600
1600110000000000000,37.7583
1600113600000000000,37.7607
1600117200000000000,37.7580
1600120800000000000,37.7583
1600124400000000000,37.7613
1600128000000000000,37.6776
1600131600000000000,37.6917
1600135200000000000,37.6938
1600138800000000000,37.6933
1600142400000000000,37.6973
1600146000000000000,37.6958
1600149600000000000,37.6956
1600153200000000000,37.6958
1600156800000000000,37.6944
1600160400000000000,37.6962
1600164000000000000,37.7053
1600167600000000000,37.7067
1600171200000000000,37.7081
1600174800000000000,37.7067
1600178400000000000,37.7080
1600182000000000000,37.7068
1600185600000000000,37.7080
1600189200000000000,37.7073
1600192800000000000,37.7115
1600196400000000000,37.7125
1600200000000000000,37.7097
1600203600000000000,37.7137
1600207200000000000,37.7132
1600210800000000000,37.7133
1600214400000000000,37.6329
1600218000000000000,37.6473
1600221600000000000,37.6732
1600225200000000000,37.6758
1600228800000000000,37.6762
1600232400000000000,37.6762
1600236000000000000,37.6758
1600239600000000000,37.6719
1600243200000000000,37.6754
1600246800000000000,37.6730
1600250400000000000,37.6754
1600254000000000000,37.6750
1600257600000000000,37.6771
1600261200000000000,37.6768
1600264800000000000,37.6755
1600268400000000000,37.6768
1600272000000000000,37.6763
1600275600000000000,37.6773
1600279200000000000,37.6772
1600282800000000000,37.6834
1600286400000000000,37.6783
1600290000000000000,37.6770
1600293600000000000,37.6805
1600297200000000000,37.6798
1600300800000000000,37.6125
1600304400000000000,37.6218
1600308000000000000,37.6286
1600311600000000000,37.6272
1600315200000000000,37.6298
1600318800000000000,37.6292
1600322400000000000,37.6329
1600326000000000000,37.6324
1600329600000000000,37.6327
1600333200000000000,37.6325
1600336800000000000,37.6333
1600340400000000000,37.6353
1600344000000000000,37.6342
1600347600000000000,37.6352
1600351200000000000,37.6362
1600354800000000000,37.6383
1600358400000000000,37.6392
1600362000000000000,37.6395
1600365600000000000,37.6405
1600369200000000000,37.6420
1600372800000000000,37.6417
1600376400000000000,37.6395
1600380000000000000,37.6387
1600383600000000000,37.6398
1600387200000000000,37.5675
1600390800000000000,37.5745
1600394400000000000,37.5747
1600398000000000000,37.5757
1600401600000000000,37.5760
1600405200000000000,37.5761
1600408800000000000,37.5755
1600412400000000000,37.5773
1600416000000000000,37.5742
1600419600000000000,37.5761
1600423200000000000,37.5747
1600426800000000000,37.5761
1600430400000000000,37.5758
1600434000000000000,37.5768
1600437600000000000,37.5798
1600441200000000000,37.5773
1600444800000000000,37.5785
1600448400000000000,37.5769
1600452000000000000,37.5795
1600455600000000000,37.5785
1600459200000000000,37.5797
1600462800000000000,37.5792
1600466400000000000,37.5788
1600470000000000000,37.5788
1600473600000000000,37.5054
1600477200000000000,37.5251
1600480800000000000,37.5363
