clock,value
2020-11-30 11:00:00,11.6608
2020-11-30 11:20:00,11.5836
2020-11-30 11:40:00,11.3899
2020-11-30 12:00:00,11.4267
2020-11-30 12:20:00,11.4559
2020-11-30 12:40:00,11.4671
2020-11-30 13:00:00,11.3345
2020-11-30 13:20:00,8.6851
2020-11-30 13:40:00,9.9232
2020-11-30 14:00:00,12.4138
2020-11-30 14:20:00,12.6689
2020-11-30 14:40:00,12.0972
2020-11-30 15:00:00,11.2933
2020-11-30 15:20:00,11.1008
2020-11-30 15:40:00,10.3048
2020-11-30 16:00:00,10.2133
2020-11-30 16:20:00,9.9731
2020-11-30 16:40:00,9.7221
2020-11-30 17:00:00,9.4306
2020-11-30 17:20:00,8.7984
2020-11-30 17:40:00,8.5036
2020-11-30 18:00:00,7.9861
2020-11-30 18:20:00,7.4102
2020-11-30 18:40:00,6.7917
2020-11-30 19:00:00,6.5539
2020-11-30 19:20:00,6.4712
2020-11-30 19:40:00,6.0307
2020-11-30 20:00:00,5.7727
2020-11-30 20:20:00,6.1672
2020-11-30 20:40:00,5.4953
2020-11-30 21:00:00,5.2773
2020-11-30 21:20:00,5.3474
2020-11-30 21:40:00,5.072
2020-11-30 22:00:00,5.2339
2020-11-30 22:20:00,4.9984
2020-11-30 22:40:00,4.7174
2020-11-30 23:00:00,4.502
2020-11-30 23:20:00,4.6661
2020-11-30 23:40:00,4.3284
2020-12-01 00:00:00,4.5715
2020-12-01 00:20:00,5.3636
2020-12-01 00:40:00,6.7839
2020-12-01 01:00:00,7.3198
2020-12-01 01:20:00,6.9773
2020-12-01 01:40:00,6.9013
2020-12-01 02:00:00,7.0315
2020-12-01 02:20:00,7.1173
2020-12-01 02:40:00,4.0536
2020-12-01 03:00:00,3.9989
2020-12-01 03:20:00,4.1693
2020-12-01 03:40:00,4.2116
2020-12-01 04:00:00,5.9708
2020-12-01 04:20:00,4.7428
2020-12-01 04:40:00,4.4574
2020-12-01 05:00:00,4.625
2020-12-01 05:20:00,4.8031
2020-12-01 05:40:00,4.904
2020-12-01 06:00:00,5.0993
2020-12-01 06:20:00,5.3809
2020-12-01 06:40:00,5.4881
2020-12-01 07:00:00,5.6727
2020-12-01 07:20:00,6.2278
2020-12-01 07:40:00,6.5141
2020-12-01 08:00:00,7.2326
2020-12-01 08:20:00,7.9366
2020-12-01 08:40:00,8.56
2020-12-01 09:00:00,9.3327
2020-12-01 09:20:00,9.6633
2020-12-01 09:40:00,10.3601
2020-12-01 10:00:00,10.6347
2020-12-01 10:20:00,10.8381
2020-12-01 10:40:00,11.4229
2020-12-01 11:00:00,11.6903
2020-12-01 11:20:00,11.3478
2020-12-01 11:40:00,11.7627
2020-12-01 12:00:00,11.6004
2020-12-01 12:20:00,11.469
2020-12-01 12:40:00,11.5901
2020-12-01 13:00:00,11.3949
2020-12-01 13:20:00,11.2872
2020-12-01 13:40:00,11.1729
2020-12-01 14:00:00,10.9596
2020-12-01 14:20:00,10.7747
2020-12-01 14:40:00,10.7418
2020-12-01 15:00:00,11.2668
2020-12-01 15:20:00,10.8181
2020-12-01 15:40:00,10.5254
2020-12-01 16:00:00,10.3184
2020-12-01 16:20:00,10.1161
2020-12-01 16:40:00,9.6741
2020-12-01 17:00:00,9.1776
2020-12-01 17:20:00,8.9141
2020-12-01 17:40:00,8.6342
2020-12-01 18:00:00,8.1996
2020-12-01 18:20:00,7.616
2020-12-01 18:40:00,7.3304
2020-12-01 19:00:00,6.9018
2020-12-01 19:20:00,6.6789
2020-12-01 19:40:00,6.4824
2020-12-01 20:00:00,6.137
2020-12-01 20:20:00,5.9001
2020-12-01 20:40:00,5.8402
2020-12-01 21:00:00,5.1757
2020-12-01 21:20:00,5.4121
2020-12-01 21:40:00,5.8761
2020-12-01 22:00:00,5.0541
2020-12-01 22:20:00,4.8212
2020-12-01 22:40:00,5.3052
2020-12-01 23:00:00,4.6576
2020-12-01 23:20:00,4.5036
2020-12-01 23:40:00,4.6972
2020-12-02 00:00:00,4.8407
2020-12-02 00:20:00,5.1765
