clock,value
2020-11-30 11:00:00,29.2792
2020-11-30 11:20:00,32.2855
2020-11-30 11:40:00,28.2275
2020-11-30 12:00:00,29.0281
2020-11-30 12:20:00,29.3575
2020-11-30 12:40:00,28.226
2020-11-30 13:00:00,28.3801
2020-11-30 13:20:00,17.284
2020-11-30 13:40:00,22.7278
2020-11-30 14:00:00,33.8847
2020-11-30 14:20:00,33.9124
2020-11-30 14:40:00,32.9085
2020-11-30 15:00:00,26.9794
2020-11-30 15:20:00,25.8291
2020-11-30 15:40:00,24.3429
2020-11-30 16:00:00,23.7862
2020-11-30 16:20:00,22.8125
2020-11-30 16:40:00,21.3855
2020-11-30 17:00:00,20.5913
2020-11-30 17:20:00,19.3186
2020-11-30 17:40:00,18.0923
2020-11-30 18:00:00,16.6395
2020-11-30 18:20:00,15.5527
2020-11-30 18:40:00,13.6662
2020-11-30 19:00:00,13.0137
2020-11-30 19:20:00,12.2881
2020-11-30 19:40:00,11.4289
2020-11-30 20:00:00,10.9621
2020-11-30 20:20:00,10.5826
2020-11-30 20:40:00,9.6953
2020-11-30 21:00:00,9.3378
2020-11-30 21:20:00,9.5497
2020-11-30 21:40:00,8.5929
2020-11-30 22:00:00,10.2162
2020-11-30 22:20:00,7.8995
2020-11-30 22:40:00,7.3193
2020-11-30 23:00:00,7.0665
2020-11-30 23:20:00,7.0059
2020-11-30 23:40:00,6.3685
2020-12-01 00:00:00,6.9101
2020-12-01 00:20:00,8.638
2020-12-01 00:40:00,12.3114
2020-12-01 01:00:00,13.7342
2020-12-01 01:20:00,13.4436
2020-12-01 01:40:00,12.8434
2020-12-01 02:00:00,13.2257
2020-12-01 02:20:00,13.8405
2020-12-01 02:40:00,5.4855
2020-12-01 03:00:00,5.641
2020-12-01 03:20:00,6.1117
2020-12-01 03:40:00,5.729
2020-12-01 04:00:00,11.7576
2020-12-01 04:20:00,8.1606
2020-12-01 04:40:00,6.5516
2020-12-01 05:00:00,7.4672
2020-12-01 05:20:00,8.1688
2020-12-01 05:40:00,8.0241
2020-12-01 06:00:00,8.7877
2020-12-01 06:20:00,9.8424
2020-12-01 06:40:00,9.9222
2020-12-01 07:00:00,10.5813
2020-12-01 07:20:00,12.1902
2020-12-01 07:40:00,12.7155
2020-12-01 08:00:00,15.1039
2020-12-01 08:20:00,17.4763
2020-12-01 08:40:00,18.7861
2020-12-01 09:00:00,23.4992
2020-12-01 09:20:00,23.4118
2020-12-01 09:40:00,24.6627
2020-12-01 10:00:00,26.5735
2020-12-01 10:20:00,27.332
2020-12-01 10:40:00,28.4817
2020-12-01 11:00:00,29.727
2020-12-01 11:20:00,31.9641
2020-12-01 11:40:00,29.0464
2020-12-01 12:00:00,28.7762
2020-12-01 12:20:00,28.8279
2020-12-01 12:40:00,28.5268
2020-12-01 13:00:00,28.1323
2020-12-01 13:20:00,28.3636
2020-12-01 13:40:00,27.8698
2020-12-01 14:00:00,27.1003
2020-12-01 14:20:00,26.6464
2020-12-01 14:40:00,25.4014
2020-12-01 15:00:00,26.0789
2020-12-01 15:20:00,25.9278
2020-12-01 15:40:00,24.0361
2020-12-01 16:00:00,23.8264
2020-12-01 16:20:00,23.3281
2020-12-01 16:40:00,21.8016
2020-12-01 17:00:00,20.2457
2020-12-01 17:20:00,20.1067
2020-12-01 17:40:00,18.9622
2020-12-01 18:00:00,17.9984
2020-12-01 18:20:00,16.8052
2020-12-01 18:40:00,15.1321
2020-12-01 19:00:00,14.0622
2020-12-01 19:20:00,13.6845
2020-12-01 19:40:00,12.2386
2020-12-01 20:00:00,11.7405
2020-12-01 20:20:00,11.4073
2020-12-01 20:40:00,10.1833
2020-12-01 21:00:00,9.4591
2020-12-01 21:20:00,9.9139
2020-12-01 21:40:00,9.3502
2020-12-01 22:00:00,8.6769
2020-12-01 22:20:00,8.6018
2020-12-01 22:40:00,7.5933
2020-12-01 23:00:00,7.3398
2020-12-01 23:20:00,7.2319
2020-12-01 23:40:00,6.5298
2020-12-02 00:00:00,7.4303
2020-12-02 00:20:00,8.6003
2020-12-02 00:40:00,11.7308
2020-12-02 01:00:00,14.4771
2020-12-02 01:20:00,14.0408
2020-12-02 01:40:00,13.9013
2020-12-02 02:00:00,16.5675
2020-12-02 02:20:00,18.1862
2020-12-02 02:40:00,17.8674
2020-12-02 03:00:00,17.9553
2020-12-02 03:20:00,15.0883
2020-12-02 03:40:00,9.8792
2020-12-02 04:00:00,15.6781
2020-12-02 04:20:00,12.5231
2020-12-02 04:40:00,11.0005
2020-12-02 05:00:00,11.5535
2020-12-02 05:20:00,12.5055
2020-12-02 05:40:00,12.5579
2020-12-02 06:00:00,13.7946
2020-12-02 06:20:00,14.502
2020-12-02 06:40:00,15.3199
2020-12-02 07:00:00,16.0597
2020-12-02 07:20:00,17.2057
2020-12-02 07:40:00,17.5629
2020-12-02 08:00:00,19.831
2020-12-02 08:20:00,22.1854
